Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,VehiclePrice,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange_Claim,Deductible,DriverRating,Age,AgeOfVehicle,Fault,AccidentArea,BasePolicy,VehicleCategory,FraudFound_P
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,32,5 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,36,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,30,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,30,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,37,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,Yes,No,1 to 2,no change,400,3,55,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,2,49,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,60000 to 69000,No,No,none,2 to 3 years,500,4,35,7 years,Third Party,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,4 to 8 years,400,4,37,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,none,4 to 8 years,400,3,26,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,4 to 8 years,400,4,80,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,42,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,3,44,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,21,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,500,2,39,7 years,Third Party,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,2,31,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,Yes,No,none,no change,400,4,0,new,Policy Holder,Urban,All Perils,Sport,0
more than 30,more than 30,1,40000 to 59000,No,No,more than 5,no change,400,4,35,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,57,more than 7,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,33,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,1,59,more than 7,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,1,46,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,2,46,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,1,35,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,none,no change,400,1,45,7 years,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,4,37,5 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,more than 4,more than 69000,No,No,more than 5,no change,400,1,45,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,700,1,56,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,700,2,26,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,22,5 years,Policy Holder,Rural,Liability,Sport,1
more than 30,more than 30,1,20000 to 29000,No,No,3 to 5,no change,400,4,49,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,700,4,55,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,30,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,27,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,1,28,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,1,43,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,29,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,3,30,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,38,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,4,39,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,3 to 5,no change,400,2,32,3 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,400,4,23,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,4,37,7 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,4 to 8 years,400,1,44,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,4,28,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,1,35,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,32,7 years,Third Party,Rural,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,3,39,7 years,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,63,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,34,5 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,none,more than 69000,No,No,none,4 to 8 years,400,3,26,5 years,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,26,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,41,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,1,32,7 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,4 to 8 years,400,4,47,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,1,35,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,3,36,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,30000 to 39000,No,No,3 to 5,no change,400,3,57,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,31,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,2,44,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,3 to 5,no change,400,3,32,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,4,58,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,34,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,700,4,35,7 years,Policy Holder,Urban,Liability,Sport,0
none,more than 30,1,more than 69000,No,No,none,1 year,400,1,46,5 years,Third Party,Rural,All Perils,Utility,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,42,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,4,29,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,4 to 8 years,400,4,49,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,31,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,3,47,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,58,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,32,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,51,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,44,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,more than 69000,Yes,No,none,no change,400,4,0,new,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,Yes,No,1 to 2,no change,400,3,44,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,1 year,400,2,27,6 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,37,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,2,28,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,29,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,34,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,3 to 5,no change,400,4,39,7 years,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,45,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,30,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,38,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,36,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,26,4 years,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,27,4 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,40000 to 59000,No,No,3 to 5,no change,400,1,47,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,2 to 3 years,500,4,30,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,3 to 5,no change,400,1,38,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,27,6 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,1,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,3 to 5,no change,400,4,38,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,3,36,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,36,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,more than 5,no change,400,2,34,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,1,43,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,3 to 5,no change,400,2,43,7 years,Policy Holder,Rural,Collision,Utility,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,49,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,4,45,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,26,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,4,36,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,21,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,29,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,47,more than 7,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,27,5 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,28,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,29,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,2,43,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,44,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,43,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,3 to 5,no change,400,4,66,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,4,26,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,4 to 8 years,400,4,30,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,more than 5,no change,400,1,78,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,55,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,61,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,2,45,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,2,60,more than 7,Policy Holder,Rural,All Perils,Utility,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,38,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,51,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,4,41,7 years,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,23,5 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,1,64,6 years,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,31,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,Yes,Yes,3 to 5,no change,400,2,32,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,61,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,49,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,2,66,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,3 to 5,no change,400,1,43,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,1 to 2,no change,400,1,80,more than 7,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,29,6 years,Policy Holder,Rural,All Perils,Utility,1
more than 30,more than 30,none,30000 to 39000,No,Yes,3 to 5,no change,400,4,26,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,3 to 5,no change,400,1,18,3 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,48,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,26,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,24,5 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,29,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,2 to 3 years,500,2,33,6 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,35,5 years,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,1,less than 20000,No,No,more than 5,no change,400,4,38,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,4 to 8 years,400,3,29,6 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,1,less than 20000,No,No,more than 5,no change,400,4,35,5 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,2 to 3 years,500,1,42,more than 7,Third Party,Urban,Liability,Sport,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,3,44,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,700,1,56,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,28,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,1,72,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,60000 to 69000,No,No,none,no change,400,1,69,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,4,42,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,48,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,32,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,55,7 years,Policy Holder,Rural,Collision,Utility,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,1,31,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,3,30,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,2,24,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,65,more than 7,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,18,4 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,67,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,more than 5,no change,400,1,54,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,3,42,more than 7,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,0,new,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,2 to 3 years,500,1,36,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,2,35,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,1,33,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,63,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,36,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,1,44,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,1 year,400,3,45,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,34,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,4,0,new,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,29,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,64,more than 7,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,3 to 5,no change,400,2,28,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,3,65,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,700,3,35,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,3,45,more than 7,Policy Holder,Rural,All Perils,Utility,1
more than 30,more than 30,none,30000 to 39000,No,No,3 to 5,4 to 8 years,400,1,45,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,64,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,2,42,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,32,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,1,21,4 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,42,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,more than 5,no change,400,3,31,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,64,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,33,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,50,more than 7,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,19,3 years,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,2,40,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,more than 69000,No,No,1 to 2,no change,400,4,27,4 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,29,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,none,2 to 3 years,500,4,41,7 years,Third Party,Urban,All Perils,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,2,29,7 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,30,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,60,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,3,32,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,4 to 8 years,400,4,67,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,40000 to 59000,No,No,none,no change,400,4,47,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,28,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,20,3 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,Yes,No,1 to 2,no change,400,3,41,7 years,Third Party,Rural,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,3 to 5,no change,700,3,27,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,40,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,46,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,3 to 5,no change,400,4,47,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,61,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,27,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,more than 69000,No,No,1 to 2,no change,400,1,30,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,63,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,2,35,6 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,28,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,32,6 years,Policy Holder,Urban,Liability,Sport,0
